"WorkMem";"Detection";"LongTerm"
-1,67697594501718;1,17801047120419;"low"
-1,41580756013746;0,717277486910995;"low"
-0,707903780068729;0,172774869109948;"low"
-0,797250859106529;0,701570680628272;"low"
-0,879725085910653;0,706806282722513;"low"
-0,969072164948454;0,93717277486911;"low"
-1,01030927835052;1,17801047120419;"low"
-0,969072164948454;1,31937172774869;"low"
-0,756013745704468;1,31937172774869;"low"
-0,570446735395189;0,827225130890052;"low"
-0,247422680412371;0,790575916230366;"low"
-0,0893470790378008;0,701570680628272;"low"
0,350515463917525;0,340314136125654;"low"
-0,36426116838488;1,12041884816754;"low"
-0,391752577319587;1,17801047120419;"low"
-0,36426116838488;1,22513089005236;"low"
-0,357388316151202;1,38219895287958;"low"
-0,0962199312714773;1,56544502617801;"low"
-0,219931271477663;1,79057591623037;"low"
0,859106529209622;1,60732984293194;"low"
0,72852233676976;1,77486910994764;"low"
0,536082474226804;2,30366492146597;"low"
1,00343642611684;2,14659685863874;"low"
1,29209621993127;2,01047120418848;"low"
1,07216494845361;1,66492146596859;"low"
-1,40893470790378;1,56544502617801;"high"
-1,10652920962199;1,79057591623037;"high"
-0,618556701030928;0,931937172774869;"high"
-0,0893470790378008;1,0261780104712;"high"
0,103092783505155;0,973821989528796;"high"
0,549828178694158;1,0261780104712;"high"
0,584192439862543;1,07853403141361;"high"
1,07903780068728;1,21989528795811;"high"
1,51890034364261;1,45026178010471;"high"
1,51890034364261;1,54973821989529;"high"
1,52577319587629;1,68586387434555;"high"
-0,240549828178694;1,59685863874346;"high"
-0,426116838487973;1,60732984293194;"high"
-0,494845360824743;1,54973821989529;"high"
-0,474226804123711;1,54450261780105;"high"
-0,872852233676976;2,56544502617801;"high"
0,103092783505155;1,95287958115183;"high"
0,281786941580755;2,16753926701571;"high"
0,254295532646048;1,79057591623037;"high"
0,549828178694158;1,68062827225131;"high"
0,508591065292095;1,7696335078534;"high"
0,329896907216495;1,45026178010471;"high"
0,707903780068728;1,6020942408377;"high"
1,26460481099656;1,7696335078534;"high"
1,27147766323024;2,04712041884817;"high"
