"Sujet";"Groupe";"Apprentissage";"Changement";"Essai";"Mission";"Duree";"FinEssai";"NbStop";"NbArriere";"Orientation";"Phase"
"s29";"V-R";"Virtuel";"Oui";9;"C";125623;1300921;5;0;-0,019;"Phase2"
"s29";"V-R";"Virtuel";"Oui";10;"A";106717;1407638;6;0;-0,355;"Phase2"
"s29";"V-R";"Virtuel";"Oui";11;"C";82975;1490613;4;0;0,034;"Phase2"
"s29";"V-R";"Virtuel";"Oui";12;"B";84649;1575262;5;0;-0,175;"Phase2"
"s30";"V-R";"Virtuel";"Oui";1;"C";244602;244602;3;0;0,097;"Phase1"
"s30";"V-R";"Virtuel";"Oui";2;"B";145297;389899;7;0;-0,356;"Phase1"
"s30";"V-R";"Virtuel";"Oui";3;"A";111319;501218;5;0;-0,296;"Phase1"
"s30";"V-R";"Virtuel";"Oui";4;"A";171234;672452;6;1;-0,396;"Phase1"
"s30";"V-R";"Virtuel";"Oui";5;"B";65316;737768;2;0;-0,172;"Phase1"
"s30";"V-R";"Virtuel";"Oui";6;"C";92049;829817;2;0;0,081;"Phase1"
"s30";"V-R";"Virtuel";"Oui";7;"A";128747;958564;2;0;-0,188;"Phase2"
"s30";"V-R";"Virtuel";"Oui";8;"C";140129;1098693;4;0;0,497;"Phase2"
"s30";"V-R";"Virtuel";"Oui";9;"B";134260;1232953;4;1;-0,224;"Phase2"
"s30";"V-R";"Virtuel";"Oui";10;"B";108204;1341157;4;0;-0,021;"Phase2"
"s30";"V-R";"Virtuel";"Oui";11;"A";134545;1475702;3;1;-0,233;"Phase2"
"s30";"V-R";"Virtuel";"Oui";12;"C";142808;1618510;4;0;0,344;"Phase2"
