"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"a-PC";"d-A";-2,97888519761287
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";5;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";15;"b-C";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";5;"a-PC";"b-C";-4,45787674849642
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";6;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"a-PC";2,66502737300807
"IFSI";"F";"b-Plutot pas";"d-Plutot d'accord";2;"a-PC";"c-P";2,66502737300807
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"b-C";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";13;"b-C";"c-P";-1,07008984576757
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";30;"c-P";"c-P";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"b-C";"d-A";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";5;"a-PC";"b-C";-1,61899831094022
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"a-PC";"b-C";-3,16919079491696
"IFSI";"H";"d-Plutot d'accord";"c-Entre les deux";15;"a-PC";"a-PC";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";12;"b-C";"c-P";-2,7992949536619
"IFSI";"H";"d-Plutot d'accord";"b-Plutot pas";5;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";6;"b-C";"c-P";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"c-P";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"b-C";"d-A";-1,77819821076708
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";2;"b-C";"b-C";-1,37670767474488
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"a-PC";"a-PC";-1,07008984576757
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";7;"b-C";"c-P";-6,3796857
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";6;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"a-Pas du tout";"a-Pas du tout";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";5;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";8;"b-C";"b-C";-1,37670767474488
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";12;"a-PC";"a-PC";-2,97888519761287
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";13;"b-C";"c-P";-1,47573907638765
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";8;"a-PC";"a-PC";-5,1759054455613
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";8;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";6;"b-C";"b-C";-1,42127644905998
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-1,61899831094022
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";19;"b-C";"c-P";-2,97888519761287
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"c-P";"b-C";-1,20991648130308
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"b-C";-2,90419977548187
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"a-PC";"a-PC";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"a-PC";"b-C";-4,31464915690201
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-1,47573907638765
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"c-P";-1,20991648130308
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";15;"a-PC";"b-C";-1,37670767474488
"IFSI";"H";"b-Plutot pas";"b-Plutot pas";10;"a-PC";"a-PC";-2,01994579553125
