"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";4;"b-C";"b-C";-2,90419977548187
"IFSI";"H";"d-Plutot d'accord";"c-Entre les deux";5;"a-PC";"a-PC";-3,35942440007168
"IFSI";"H";"b-Plutot pas";"c-Entre les deux";25;"b-C";"b-C";-3,67204243328576
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";20;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";2;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";8;"b-C";"c-P";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";8;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"b-C";"b-C";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";6;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-3,35942440007168
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-2,01994579553125
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";12;"b-C";"c-P";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"c-P";-1,77819821076708
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";20;"b-C";"a-PC";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";5;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";10;"a-PC";"b-C";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";2;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";5;"b-C";"b-C";-1,85876238798429
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";13;"b-C";"b-C";-4,31464915690201
"IFSI";"F";"a-Pas du tout";"c-Entre les deux";10;"a-PC";"b-C";-2,2759783654667
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";6;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";9;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"c-P";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";20;"b-C";"e-M";-2,45231478255823
"IFSI";"H";"e-Tout a fait";"b-Plutot pas";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"a-Pas du tout";"b-Plutot pas";3;"a-PC";"a-PC";-2,17756181706102
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";12;"b-C";"c-P";-2,7992949536619
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";5;"b-C";"b-C";-3,29634007557855
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"a-PC";"b-C";-3,35942440007168
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";5;"b-C";"d-A";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";30;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"c-P";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";10;"b-C";"b-C";-2,63233352282644
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";10;"b-C";"c-P";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";20;"b-C";"a-PC";-2,97888519761287
"IFSI";"H";"b-Plutot pas";"b-Plutot pas";2;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";20;"c-P";"b-C";-3,29634007557855
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";1;"b-C";"c-P";2,66502737300807
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";3;"a-PC";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";6;"b-C";"c-P";-2,36225523804499
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";10;"a-PC";"b-C";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";40;"a-PC";"b-C";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";15;"b-C";"c-P";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";7;"a-PC";"a-PC";-4,31464915690201
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";7;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";5;"b-C";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";7;"a-PC";"a-PC";-2,36225523804499
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"a-PC";"b-C";-1,53989920302634
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";12;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";20;"a-PC";"b-C";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";15;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";13;"b-C";"a-PC";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";1;"c-P";"b-C";-1,14344764131192
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";7;"a-PC";"b-C";-4,75567319892648
"IFSI";"H";"b-Plutot pas";"a-Pas du tout";8;"a-PC";"a-PC";-3,35942440007168
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"a-PC";"a-PC";-3,35942440007168
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";20;"a-PC";"a-PC";-3,29634007557855
"IFSI";"H";"e-Tout a fait";"b-Plutot pas";10;"a-PC";"b-C";-6,3796857
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";10;"c-P";"c-P";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";5;"a-PC";"b-C";-3,16919079491696
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";7;"a-PC";"b-C";-2,01994579553125
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";9;"a-PC";"a-PC";-3,29634007557855
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";4;"b-C";"b-C";-1,77819821076708
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";5;"b-C";"b-C";-6,3796857
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";6;"b-C";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";20;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";20;"b-C";"a-PC";-3,97717827976079
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";3;"c-P";"a-PC";-1,37670767474488
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";4;"a-PC";"a-PC";-1,14344764131192
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";15;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";9;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"a-PC";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"b-C";-4,31464915690201
"IFSI";"F";"b-Plutot pas";"e-Tout a fait";6;"b-C";"a-PC";-1,14344764131192
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";20;"a-PC";"a-PC";-1,37670767474488
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";18;"a-PC";"a-PC";-2,90419977548187
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";15;"a-PC";"c-P";-2,63233352282644
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";6;"b-C";"b-C";-6,3796857
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";12;"b-C";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";6;"b-C";"a-PC";-1,47573907638765
"IFSI";"F";"b-Plutot pas";"e-Tout a fait";3;"a-PC";"b-C";-1,14344764131192
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";15;"a-PC";"a-PC";-1,77819821076708
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";7;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";2;"c-P";"e-M";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";15;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";5;"b-C";"a-PC";-2,2759783654667
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";20;"c-P";"b-C";-1,47573907638765
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";6;"a-PC";"c-P";-2,63233352282644
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"b-C";"c-P";-2,97888519761287
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";9;"b-C";"e-M";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";6;"c-P";"b-C";-4,45787674849642
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";15;"c-P";"d-A";-3,60809607315391
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";17;"b-C";"a-PC";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";6;"b-C";"e-M";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";8;"a-PC";"a-PC";-1,61899831094022
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";15;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";4;"b-C";"b-C";-6,3796857
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";15;"a-PC";"b-C";-2,36225523804499
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"c-P";"c-P";-1,47573907638765
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";20;"b-C";"b-C";-4,83565819152406
"IFSI";"H";"c-Entre les deux";"b-Plutot pas";3;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";12;"a-PC";"a-PC";-2,01994579553125
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";25;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";8;"b-C";"b-C";-2,63233352282644
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";20;"a-PC";"a-PC";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";6;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";12;"a-PC";"c-P";-2,36225523804499
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";10;"c-P";"a-PC";-3,16919079491696
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";15;"a-PC";"b-C";-1,77819821076708
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"a-PC";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";5;"b-C";"b-C";0,0206679744397045
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"b-C";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"a-PC";"b-C";-3,79370567887038
"IFSI";"H";"d-Plutot d'accord";"c-Entre les deux";20;"b-C";"c-P";-2,90419977548187
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"b-Plutot pas";"c-Entre les deux";12;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";10;"a-PC";"a-PC";-2,97888519761287
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";1;"c-P";"b-C";-0,896493646813167
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";20;"b-C";"b-C";-4,31464915690201
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";2;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-1,47573907638765
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";7;"b-C";"b-C";-6,3796857
"IFSI";"F";"a-Pas du tout";"b-Plutot pas";10;"a-PC";"a-PC";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";12;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"a-PC";"a-PC";-1,47573907638765
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"d-A";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";15;"a-PC";"a-PC";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";15;"a-PC";"c-P";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";15;"b-C";"a-PC";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";4;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";8;"b-C";"a-PC";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"a-PC";"b-C";-6,3796857
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";5;"a-PC";"a-PC";-4,75567319892648
"IFSI";"H";"c-Entre les deux";"b-Plutot pas";15;"b-C";"c-P";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";1;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";15;"b-C";"c-P";-1,47573907638765
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";20;"a-PC";"c-P";-1,77819821076708
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-1,85876238798429
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";8;"a-PC";"a-PC";-2,7992949536619
"IFSI";"H";"d-Plutot d'accord";"b-Plutot pas";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";5;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";6;"b-C";"c-P";-3,35942440007168
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";4;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";15;"b-C";"b-C";1,4540451385491
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"b-C";-1,37670767474488
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";15;"b-C";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";7;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";8;"b-C";"b-C";-1,69178042823857
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";15;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"a-Pas du tout";"a-Pas du tout";12;"a-PC";"a-PC";-4,45787674849642
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";20;"a-PC";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";8;"b-C";"c-P";-1,61899831094022
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";20;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";7;"b-C";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";10;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";4;"b-C";"a-PC";-2,2759783654667
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";20;"b-C";"e-M";-1,61899831094022
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";6;"a-PC";"c-P";-2,2759783654667
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";15;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";20;"b-C";"a-PC";-4,31464915690201
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";2;"a-PC";"a-PC";-2,36225523804499
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-2,90419977548187
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"b-C";"b-C";-3,35942440007168
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";15;"b-C";"b-C";-1,47573907638765
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";15;"b-C";"b-C";-3,16919079491696
"IFSI";"H";"e-Tout a fait";"b-Plutot pas";20;"a-PC";"d-A";-2,01994579553125
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"b-C";-1,30583113749182
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";7;"b-C";"c-P";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";6;"b-C";"b-C";-3,29634007557855
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";15;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";5;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";20;"a-PC";"b-C";-4,10471273052739
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"a-PC";-2,7992949536619
"IFSI";"H";"b-Plutot pas";"a-Pas du tout";5;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"c-P";"c-P";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";5;"b-C";"a-PC";-6,3796857
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";25;"b-C";"a-PC";-4,31464915690201
"IFSI";"H";"c-Entre les deux";"b-Plutot pas";5;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";15;"a-PC";"b-C";-3,70569160836784
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";7;"b-C";"b-C";2,66502737300807
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";8;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";15;"a-PC";"a-PC";-1,42127644905998
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"c-P";"c-P";-1,14344764131192
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";17;"b-C";"a-PC";-1,07008984576757
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"b-C";"a-PC";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";12;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";4;"a-PC";"a-PC";-2,2759783654667
"IFSI";"H";"e-Tout a fait";"b-Plutot pas";10;"a-PC";"b-C";-4,19167076781589
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"c-P";"c-P";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"b-C";"a-PC";-1,20991648130308
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";11;"a-PC";"a-PC";-4,31464915690201
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";25;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";5;"a-PC";"a-PC";-3,16919079491696
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";5;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";7;"a-PC";"a-PC";-2,90419977548187
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"a-PC";-2,90419977548187
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";5;"a-PC";"b-C";-2,36225523804499
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";15;"b-C";"b-C";-1,77819821076708
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"a-PC";"b-C";-2,63233352282644
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";20;"a-PC";"a-PC";-2,17756181706102
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";15;"b-C";"b-C";-2,01994579553125
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";10;"a-PC";"b-C";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";15;"b-C";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"a-PC";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";20;"b-C";"c-P";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";20;"b-C";"b-C";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";6;"b-C";"b-C";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";10;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";8;"b-C";"b-C";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";12;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";8;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";7;"b-C";"c-P";-2,90419977548187
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";2;"b-C";"b-C";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";12;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";4;"b-C";"b-C";2,66502737300807
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";10;"a-PC";"d-A";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";2;"c-P";"a-PC";-1,61899831094022
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";7;"a-PC";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";7;"b-C";"c-P";-1,07008984576757
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";12;"b-C";"b-C";-6,3796857
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";20;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";12;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"a-PC";"a-PC";-1,47573907638765
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";15;"b-C";"b-C";-3,35942440007168
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";12;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"b-Plutot pas";"d-Plutot d'accord";7;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";7;"b-C";"b-C";-1,47573907638765
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";8;"b-C";"d-A";-1,47573907638765
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";12;"b-C";"b-C";2,66502737300807
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"b-C";-1,37670767474488
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";6;"c-P";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";7;"a-PC";"a-PC";-1,85876238798429
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";7;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";8;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";10;"a-PC";"b-C";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";7;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";20;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";13;"b-C";"a-PC";-3,35942440007168
"IFSI";"H";"d-Plutot d'accord";"a-Pas du tout";10;"a-PC";"a-PC";-4,31464915690201
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";30;"a-PC";"a-PC";-2,63233352282644
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-2,2759783654667
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";7;"a-PC";"b-C";-1,20991648130308
